site_no,tau,estimates,S,sl,p.value
01471000,-0.1053061,-4.15767016875906e-4,-129,0.2843035,0.284303535743958
01472000,-0.1297959,-3.38814650644827e-4,-159,0.1862856,0.186285549238115
01472157,0.02693878,1.9353349915104e-4,33,0.78894913,0.788949149586739
01473000,0.01877551,2.95936088911601e-4,23,0.85399234,0.853992374978471
01474000,-0.03836735,-4.69476042006752e-4,-47,0.70039785,0.700397856394209
01474500,-0.06938776,-2.83630696822828e-4,-85,0.48227507,0.482275108504501
01477120,0.1297959,0.00135645030908283,159,0.1862856,0.186285549238115
01477800,-0.02040816,-3.89109914363531e-4,-25,0.84088892,0.840888910748716
01478000,-0.21959184,-0.0022099960842494,-269,0.02497547,0.0249754727739968
01479000,-8.163265e-4,-2.69111501856566e-5,-1,1,1
01480000,0.1134694,0.00104094322703175,139,0.2483566,0.248356552804379
01480300,0.0644898,8.82740917690447e-4,79,0.5141052,0.514105174538706
01480675,0.16408163,8.407273116015e-4,201,0.09433293,0.0943328961618052
01480700,-0.06938776,-3.64043294570659e-4,-85,0.48227507,0.482275108504501
01481000,0.1053061,5.12413526227478e-4,129,0.2843035,0.284303535743958
01481500,0.08734694,4.70668690786755e-4,107,0.37525392,0.375253943032718
01483200,-0.0644898,-5.66457369887891e-4,-79,0.5141052,0.514105174538706
01483700,0.26693878,0.00122121109300461,327,0.00639236,0.00639239580406249
01484100,0.307755113,0.00214313335227497,377,0.0016597510000000001,0.0016598097013283
01485500,0.19183673,0.00141847672458915,235,0.05030322,0.0503031937297206
01487000,-0.01877551,-7.10289810745118e-5,-23,0.85399234,0.853992374978471
01491000,0.1183673,9.21801506595039e-4,145,0.228381,0.228381117309063
01495000,-0.05469388,-5.61903053003806e-4,-67,0.5808931,0.580893124138696
01500000,-0.366530627,-0.00184206097946546,-449,1.78637e-4,1.78636960541993e-4
01503000,0.02530612,3.70952815361283e-5,31,0.80185604,0.801856065566224
01510000,0.1036735,4.494888711545e-4,127,0.2918956,0.291895700594215
01512500,0.296326518,7.15071179622282e-4,363,0.002461195,0.0024611413612515
01516500,0.08244898,7.79509151373166e-4,101,0.40288162,0.402881674992069
01518000,-0.479183673859,-0.00249404132842605,-587,9.49592e-7,9.49592743531186e-7
01520000,-0.3257142901,-0.001913688856694,-399,8.709164e-4,8.70916491478497e-4
01521500,0.1069388,6.98371515329613e-4,131,0.2768462,0.276846151940742
01523500,-0.05306122,-2.10909922452501e-4,-65,0.59240723,0.592407237522452
01524500,-0.1102041,-4.31319432709192e-4,-135,0.2623343,0.262334287449941
01526500,-0.3779591918,-0.00170142236020128,-463,1.112877e-4,1.11287676586852e-4
01529500,-0.0122449,-5.53675595691366e-5,-15,0.9067745,0.90677446334059
01531000,-0.17714286,-7.29903220491428e-4,-217,0.07079202,0.0707920216049563
01531500,-0.05306122,-1.76871582318679e-4,-65,0.59240723,0.592407237522452
01532000,-0.04326531,-3.65467870854621e-4,-53,0.66358232,0.663582313144632
01534000,-0.1118367,-6.14088017457585e-4,-137,0.2552789,0.255278917379629
01534300,0.07591837,2.94630484536892e-4,93,0.44155693,0.441556837193142
01534500,0.06938776,2.06901847436852e-4,85,0.48227501,0.482275108504501
01536000,0.1232653,4.60908269712861e-4,151,0.2095773,0.209577276048761
01536500,-0.02204082,-5.11196154976477e-5,-27,0.82782936,0.827829380976393
01538000,-0.0122449,-6.12396278560585e-5,-15,0.9067745,0.90677446334059
01539000,0.03510204,1.40825080312069e-4,43,0.72534525,0.725345271990754
01540500,-0.1020408,-2.4407397119495e-4,-125,0.2996229,0.299622919484759
01541000,-0.05632653,-2.25433871608349e-4,-69,0.56948483,0.569484864788368
01541200,-0.05142857,-1.10309928437e-4,-63,0.60402489,0.604024935149754
01541500,-0.06612245,-2.80122892221223e-4,-81,0.50337517,0.503375163703577
01542810,-0.08081633,-4.44914381658501e-4,-99,0.41235518,0.412355183890253
01543000,0.04163265,1.84904814411802e-4,51,0.67576957,0.675769541350962
01543500,-0.02204082,-1.45407268589531e-4,-27,0.82782936,0.827829380976393
01544000,-0.07102041,-2.84934469805834e-4,-87,0.47190821,0.471908191139076
01544500,-0.21795918,-9.36133242648533e-4,-267,0.02607773,0.0260777363536723
01545000,-0.19510204,-6.90670466764635e-4,-239,0.04649891,0.0464989037819365
01545500,0.008979592,2.33663448256927e-5,11,0.933335781,0.933335842841861
01545600,-0.1265306,-5.63000266301047e-4,-155,0.1976805,0.197680494654529
01546500,0.008979592,2.75163253523931e-5,11,0.933335781,0.933335842841861
01547100,-0.1297959,-2.95839765675164e-4,-159,0.1862856,0.186285549238115
01547200,-0.05142857,-2.30127670426003e-4,-63,0.60402489,0.604024935149754
01547500,0.1036735,2.58635837093432e-4,127,0.2918956,0.291895700594215
01547700,0.04816326,2.54258998556495e-4,59,0.62756157,0.627561611989235
01547950,-0.1542857,-4.96532965204199e-4,-189,0.115813,0.115813029236007
01548500,-0.1510204,-7.75453542547784e-4,-185,0.1237717,0.123771627769974
01549500,-0.16244897,-0.00109234237925625,-199,0.09767286,0.0976728536695284
01549700,-0.25061226,-0.00101477787010275,-307,0.01047787,0.0104778689866351
